id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
914602087822670234,Chic Apt w/AC | Rooftop Oasis+Gym/Prime Location,503111214,Uliv,,Cuauhtémoc,19.4233917,-99.16558169999999,Entire home/apt,1831,1,123,2024-06-03,9.89,3,364,121,
912963920398797926,"Livix, Plaza Antara a 2 min caminando, Soumaya",422040837,Henbros,,Miguel Hidalgo,19.4416932,-99.19641899999999,Entire home/apt,1371,1,6,2024-05-10,0.61,14,80,6,
914647324971666439,Departamento en Ciudad de México,287853035,Fatima,,Cuauhtémoc,19.4286371,-99.1700279,Entire home/apt,1262,3,11,2024-06-23,1.03,1,352,11,
912972264162860915,Flat en Roma Nte con terraza compartida,21846499,Salvador,,Cuauhtémoc,19.4164506,-99.1581666,Entire home/apt,1280,2,0,,,3,84,0,
914688730350775895,Excelente habitación en la Roma!,91872817,Josué,,Cuauhtémoc,19.407395,-99.157134,Private room,444,1,40,2024-06-23,3.18,2,322,37,
914717874571249424,Casa de Huéspedes “Rosita”,520249215,Rosalba,,Gustavo A. Madero,19.46357,-99.10098,Private room,880,1,0,,,2,365,0,
912998510700735055,Vintage Charm | Panoramic Rooftop | Roma Norte 3BR,352959504,Jaco,,Cuauhtémoc,19.41164,-99.15833,Entire home/apt,1655,2,28,2024-03-31,2.27,17,164,27,
914768583714511446,Casa de Huéspedes Dani,520249215,Rosalba,,Gustavo A. Madero,19.463997453672953,-99.1028113559822,Private room,880,1,0,,,2,365,0,
912999779709468864,Sun bathed room in Cuauhtemoc,482484476,Santi,,Cuauhtémoc,19.431385754942927,-99.16685375909111,Private room,750,1,0,,,1,363,0,
913001445269203386,"Condesa-Roma N charming, cozy apt. Mexican Style",12356972,J.R.,,Cuauhtémoc,19.418452178652174,-99.16573926359627,Entire home/apt,1002,2,0,,,7,364,0,
915066818182175159,Luxury & Comfort Hegel,520100088,Sonia,,Miguel Hidalgo,19.43391,-99.18704,Entire home/apt,,1,0,,,1,365,0,
913018129020389137,"D10 Moderno, luminoso y acogedor",387423536,Veri2,,Cuauhtémoc,19.419818001527798,-99.15751194631814,Entire home/apt,2000,3,13,2024-05-26,1.14,6,339,13,
915222587103599439,Confortable departamento en CDMX,520361268,Jesus Rafael,,Cuauhtémoc,19.42767664814544,-99.16907325645788,Entire home/apt,1200,2,14,2024-02-27,1.16,1,307,14,
915235206355426562,Pleasant Apt w/Private Balcony in Narvarte,520175203,Yamile,,Benito Juárez,19.3856695,-99.1519177,Entire home/apt,1221,1,15,2024-05-23,1.57,6,324,15,
913019152222112182,"GM- New, cozy and beautiful apartment 2BR| 2BA",454330571,Lorenza,,Benito Juárez,19.39821315060367,-99.16204923238077,Entire home/apt,1219,2,47,2024-06-03,3.82,22,305,46,
